interface,intf_op_status,vrf,ip_address
ge-0/0/0.0,up,default,inet,41.234.66.104/27
ge-0/0/1.400,up,default,inet,10.40.72.1/29
ge-0/0/1.693,up,egb,inet,172.19.19.1/30
ge-0/0/1.695,up,vpnmonitor,inet,5.119.11.233/30
ge-0/0/1.700,up,EGBMCDR-Branches,inet,172.30.1.50/30
ge-0/0/1.701,up,vpnmonitor,inet,5.120.209.89/30
ge-0/0/1.941,up,TE-MSAN,inet,10.9.154.17/29
ge-0/0/1.942,up,TE-MNGT,inet,10.239.51.1/29
ge-0/0/1.943,up,SIP-MSAN,inet,10.9.154.17/29
ge-0/0/1.1105,up,vpnmonitor,inet,5.125.40.109/30
ge-0/0/1.1107,up,tamenat,inet,10.250.0.110/30
ge-0/0/1.1110,up,egb-cbe,inet,172.50.23.2/30
ge-0/0/1.1111,up,vpnmonitor,inet,5.119.5.45/30
ge-0/0/1.1112,up,egb,inet,12.0.23.2/30
ge-0/0/1.1113,up,vpnmonitor,inet,5.125.44.41/30
ge-0/0/1.1114,up,tanmeyah,inet,172.17.113.1/30
ge-0/0/1.1120,up,egb,inet,12.0.92.2/30
ge-0/0/1.1121,up,vpnmonitor,inet,5.120.141.141/30
ge-0/0/1.1140,up,npo,inet,172.17.93.217/30
ge-0/0/1.1141,up,vpnmonitor,inet,5.121.25.165/30
ge-0/0/1.1151,up,default,inet,10.60.60.1/30
ge-0/0/1.1201,up,default,inet,172.17.93.213/30
ge-0/0/1.1202,up,vpnmonitor,inet,5.4.19.1/30
ge-0/0/1.1257,up,vpnmonitor,inet,5.125.25.205/30
ge-0/0/1.1270,up,egb-telePerformance,inet,172.30.1.150/30
ge-0/0/1.1271,up,vpnmonitor,inet,5.120.215.201/30
ge-0/0/1.1451,up,MSAN_MPLS,inet,172.27.20.137/29
ge-0/0/1.2300,up,ETISALAT-VPLS-BITSTREAM,vpls,**** NON IP INTERFACE ****
ge-0/0/1.2550,up,VODA-VPLS-BITSTREAM,vpls,**** NON IP INTERFACE ****
ge-0/0/1.2800,up,NOOR-VPLS-BITSTREAM,vpls,**** NON IP INTERFACE ****
ge-0/0/1.3050,up,ORANGE-VPLS-BITSTREAM,vpls,**** NON IP INTERFACE ****
ge-0/0/1.13101,up,npc,inet,10.10.10.1/30
ge-0/0/1.13102,up,npc,inet,10.191.52.210/30
